2020-11-23 17:11:48,620 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:controller:1.0.0-BUILD-SNAPSHOT @ D:\GitHub\setup\setup\pom.xml.
2020-11-23 17:11:48,620 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:controller:1.0.0-BUILD-SNAPSHOT @ D:\GitHub\setup\setup\pom.xml.
2020-11-23 17:11:50,949 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:50,959 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-11-23 17:11:50,978 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:50,987 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-23 17:11:52,060 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,069 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-11-23 17:11:52,083 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,091 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-23 17:11:52,267 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,276 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-11-23 17:11:52,292 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,302 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-23 17:11:52,430 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,438 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-11-23 17:11:52,451 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,457 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-23 17:11:52,891 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,899 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-11-23 17:11:52,910 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:52,917 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-23 17:11:53,029 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:53,036 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-11-23 17:11:53,049 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:11:53,055 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-23 17:11:55,488 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:controller:1.0.0-BUILD-SNAPSHOT @ D:\GitHub\setup\setup\pom.xml.
2020-11-23 17:12:31,224 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:12:31,233 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 17:12:31,234 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 17:12:31,242 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
